Skip    SntNumPen   UnionScore  Precision Recall    F1        Match   Alignments  Gold      
-0.35   0.0         0.0         0.8959    0.8161    0.8541    6790    7579        8320      
-0.3    0.0         0.05        0.8959    0.8161    0.8541    6790    7579        8320      
-0.3    0.01        0.2         0.8956    0.8163    0.8541    6792    7584        8320      
-0.25   0.01        0.2         0.8956    0.8163    0.8541    6792    7584        8320      
-0.15   0.06        0.0         0.8918    0.8195    0.8541    6818    7645        8320      
-0.2    0.01        0.4         0.8953    0.8165    0.8541    6793    7587        8320      
-0.2    0.01        0.45        0.8953    0.8165    0.8541    6793    7587        8320      
-0.15   0.05        0.2         0.8925    0.8189    0.8541    6813    7634        8320      
-0.15   0.05        0.25        0.8925    0.8189    0.8541    6813    7634        8320      
-0.15   0.05        0.3         0.8925    0.8189    0.8541    6813    7634        8320      
-0.1    0.0         0.05        0.8950    0.8167    0.8541    6795    7592        8320      
-0.3    0.01        0.25        0.8955    0.8163    0.8541    6792    7585        8320      
-0.25   0.01        0.25        0.8955    0.8163    0.8541    6792    7585        8320      
-0.3    0.0         0.1         0.8959    0.8160    0.8541    6789    7578        8320      
-0.3    0.0         0.15        0.8959    0.8160    0.8541    6789    7578        8320      
-0.1    0.03        0.2         0.8930    0.8184    0.8541    6809    7625        8320      
-0.25   0.03        0.0         0.8943    0.8173    0.8541    6800    7604        8320      
-0.15   0.01        0.4         0.8951    0.8166    0.8541    6794    7590        8320      
-0.15   0.01        0.45        0.8951    0.8166    0.8541    6794    7590        8320      
-0.15   0.06        0.1         0.8918    0.8194    0.8540    6817    7644        8320      
-0.5    0.02        0.3         0.8948    0.8168    0.8540    6796    7595        8320      
-0.45   0.02        0.3         0.8948    0.8168    0.8540    6796    7595        8320      
-0.4    0.02        0.3         0.8948    0.8168    0.8540    6796    7595        8320      
-0.35   0.02        0.3         0.8948    0.8168    0.8540    6796    7595        8320      
-0.3    0.02        0.35        0.8948    0.8168    0.8540    6796    7595        8320      
-0.25   0.02        0.35        0.8948    0.8168    0.8540    6796    7595        8320      
-0.2    0.06        0.0         0.8920    0.8191    0.8540    6815    7640        8320      
-0.5    0.03        0.2         0.8941    0.8173    0.8540    6800    7605        8320      
-0.45   0.03        0.2         0.8941    0.8173    0.8540    6800    7605        8320      
-0.4    0.03        0.2         0.8941    0.8173    0.8540    6800    7605        8320      
-0.35   0.03        0.2         0.8941    0.8173    0.8540    6800    7605        8320      
-0.3    0.03        0.2         0.8941    0.8173    0.8540    6800    7605        8320      
-0.25   0.03        0.25        0.8941    0.8173    0.8540    6800    7605        8320      
-0.25   0.03        0.3         0.8941    0.8173    0.8540    6800    7605        8320      
-0.1    0.01        0.4         0.8946    0.8169    0.8540    6797    7598        8320      
-0.1    0.01        0.45        0.8946    0.8169    0.8540    6797    7598        8320      
-0.1    0.0         0.1         0.8950    0.8166    0.8540    6794    7591        8320      
-0.25   0.03        0.05        0.8943    0.8172    0.8540    6799    7603        8320      
-0.25   0.03        0.1         0.8943    0.8172    0.8540    6799    7603        8320      
-0.25   0.03        0.15        0.8943    0.8172    0.8540    6799    7603        8320      
-0.2    0.02        0.4         0.8947    0.8168    0.8540    6796    7596        8320      
-0.2    0.02        0.45        0.8947    0.8168    0.8540    6796    7596        8320      
-0.2    0.02        0.5         0.8947    0.8168    0.8540    6796    7596        8320      
-0.25   0.05        0.15        0.8926    0.8185    0.8540    6810    7629        8320      
-0.1    0.02        0.35        0.8939    0.8174    0.8540    6801    7608        8320      
-0.25   0.06        0.15        0.8919    0.8191    0.8540    6815    7641        8320      
-0.25   0.06        0.2         0.8919    0.8191    0.8540    6815    7641        8320      
-0.25   0.06        0.25        0.8919    0.8191    0.8540    6815    7641        8320      
-0.25   0.06        0.3         0.8919    0.8191    0.8540    6815    7641        8320      
-0.25   0.06        0.35        0.8919    0.8191    0.8540    6815    7641        8320      
-0.25   0.06        0.4         0.8919    0.8191    0.8540    6815    7641        8320      
-0.5    0.01        0.3         0.8953    0.8162    0.8539    6791    7585        8320      
-0.5    0.01        0.35        0.8953    0.8162    0.8539    6791    7585        8320      
-0.45   0.01        0.3         0.8953    0.8162    0.8539    6791    7585        8320      
-0.45   0.01        0.35        0.8953    0.8162    0.8539    6791    7585        8320      
-0.4    0.01        0.3         0.8953    0.8162    0.8539    6791    7585        8320      
-0.4    0.01        0.35        0.8953    0.8162    0.8539    6791    7585        8320      
-0.35   0.01        0.3         0.8953    0.8162    0.8539    6791    7585        8320      
-0.35   0.01        0.35        0.8953    0.8162    0.8539    6791    7585        8320      
-0.5    0.0         0.05        0.8958    0.8159    0.8539    6788    7578        8320      
-0.45   0.0         0.05        0.8958    0.8159    0.8539    6788    7578        8320      
-0.4    0.0         0.05        0.8958    0.8159    0.8539    6788    7578        8320      
-0.35   0.0         0.05        0.8958    0.8159    0.8539    6788    7578        8320      
-0.2    0.06        0.1         0.8920    0.8190    0.8539    6814    7639        8320      
-0.15   0.05        0.0         0.8924    0.8186    0.8539    6811    7632        8320      
-0.5    0.01        0.2         0.8954    0.8161    0.8539    6790    7583        8320      
-0.45   0.01        0.2         0.8954    0.8161    0.8539    6790    7583        8320      
-0.4    0.01        0.2         0.8954    0.8161    0.8539    6790    7583        8320      
-0.35   0.01        0.2         0.8954    0.8161    0.8539    6790    7583        8320      
-0.15   0.06        0.05        0.8917    0.8192    0.8539    6816    7644        8320      
-0.2    0.05        0.2         0.8925    0.8185    0.8539    6810    7630        8320      
-0.2    0.05        0.25        0.8925    0.8185    0.8539    6810    7630        8320      
-0.2    0.05        0.3         0.8925    0.8185    0.8539    6810    7630        8320      
-0.15   0.02        0.4         0.8943    0.8169    0.8539    6797    7600        8320      
-0.15   0.02        0.45        0.8943    0.8169    0.8539    6797    7600        8320      
-0.15   0.02        0.5         0.8943    0.8169    0.8539    6797    7600        8320      
